game_id,move_number,sfen,prev_sfen,move_usi,player,black_player,white_player,best_move,score_cp,pv
sample,0,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,,black,dimolt77,Nujabes_,2g2f,63,2g2f 4a3b 2f2e 8c8d 7g7f 8d8e 8h7g 3c3d
sample,1,lnsgkgsnl/1r5b1/ppppppppp/9/9/2P6/PP1PPPPPP/1B5R1/LNSGKGSNL w - 2,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,7g7f,black,dimolt77,Nujabes_,8c8d,-33,8c8d 7i7h 3c3d 7h7g 4a3b 2g2f 3a4b 2f2e
sample,2,lnsgkgsnl/1r5b1/pppppp1pp/6p2/9/2P6/PP1PPPPPP/1B5R1/LNSGKGSNL b - 3,lnsgkgsnl/1r5b1/ppppppppp/9/9/2P6/PP1PPPPPP/1B5R1/LNSGKGSNL w - 2,3c3d,white,dimolt77,Nujabes_,2g2f,108,2g2f 4c4d 4g4f 4a3b 3i4h 8c8d 4h4g 8d8e
sample,3,lnsgkgsnl/1r5b1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1B5R1/LNSGKGSNL w - 4,lnsgkgsnl/1r5b1/pppppp1pp/6p2/9/2P6/PP1PPPPPP/1B5R1/LNSGKGSNL b - 3,7f7e,black,dimolt77,Nujabes_,8c8d,104,8c8d 2g2f 4a3b 2f2e 8d8e 6i7h 8e8f 8g8f
sample,4,lnsgkgsnl/1r7/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1+b5R1/LNSGKGSNL b b 5,lnsgkgsnl/1r5b1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1B5R1/LNSGKGSNL w - 4,2b8h+,white,dimolt77,Nujabes_,7i8h,-36,7i8h 3a3b 6i7h 3b3c 2g2f 8c8d 3i3h 4a3b
sample,5,lnsgkgsnl/1r7/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S5R1/LN1GKGSNL w Bb 6,lnsgkgsnl/1r7/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1+b5R1/LNSGKGSNL b b 5,7i8h,black,dimolt77,Nujabes_,3a2b,-6,3a2b 6i7h 7a6b 2g2f 8c8d 3i3h 5c5d 8h7g
sample,6,lnsgkg1nl/1r5s1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S5R1/LN1GKGSNL b Bb 7,lnsgkgsnl/1r7/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S5R1/LN1GKGSNL w Bb 6,3a2b,white,dimolt77,Nujabes_,2g2f,16,2g2f 7a6b 6i7h 9c9d 9g9f 2b3c 8h7g 8c8d
sample,7,lnsgkg1nl/1r5s1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S1R5/LN1GKGSNL w Bb 8,lnsgkg1nl/1r5s1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S5R1/LN1GKGSNL b Bb 7,2h6h,black,dimolt77,Nujabes_,1c1d,60,2b3c 5i4h 1c1d 4h3h 1d1e 8g8f 5a4b 8h7g
sample,8,lnsgkg1nl/1r7/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R5/LN1GKGSNL b Bb 9,lnsgkg1nl/1r5s1/pppppp1pp/6p2/2P6/9/PP1PPPPPP/1S1R5/LN1GKGSNL w Bb 8,2b3c,white,dimolt77,Nujabes_,5i4h,-7,5i4h 5a4b 4h3h 4b3b 1g1f 1c1d 8g8f 7a6b
sample,9,lnsgkg1nl/1r7/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R1K3/LN1G1GSNL w Bb 10,lnsgkg1nl/1r7/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R5/LN1GKGSNL b Bb 9,5i4h,black,dimolt77,Nujabes_,1c1d,1,1c1d 1g1f 5a4b 4h3h 4b3b 8g8f 7a7b 8h7g
